,Unnamed: 0,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
30,30, 01/02  07:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
31,31, 01/02  08:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
32,32, 01/02  09:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
33,33, 01/02  10:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
34,34, 01/02  11:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
35,35, 01/02  12:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
36,36, 01/02  13:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
37,37, 01/02  14:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
38,38, 01/02  15:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
39,39, 01/02  16:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
40,40, 01/02  17:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
41,41, 01/02  18:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
42,42, 01/02  19:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
43,43, 01/02  20:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
44,44, 01/02  21:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
45,45, 01/02  22:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
46,46, 01/02  23:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
47,47, 01/02  24:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
48,48, 01/03  01:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
49,49, 01/03  02:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
50,50, 01/03  03:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
51,51, 01/03  04:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
52,52, 01/03  05:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
53,53, 01/03  06:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
54,54, 01/03  07:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
55,55, 01/03  08:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
56,56, 01/03  09:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
57,57, 01/03  10:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
58,58, 01/03  11:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
59,59, 01/03  12:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
60,60, 01/03  13:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
61,61, 01/03  14:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
62,62, 01/03  15:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
63,63, 01/03  16:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
64,64, 01/03  17:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
