Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/05  21:00:00,3.52957173037,12.8339695631,0.0,12.7771090405,0.0,0.353970463577,0.353970463577,0.353970463577,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.648526764517
 01/05  22:00:00,3.20269950431,13.0778712259,0.0,13.0223381864,0.0,0.360796404858,0.360796404858,0.360796404858,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.569949191272
 01/05  23:00:00,2.6443717389,13.6360363813,0.0,13.5879796524,0.0,0.376481725745,0.376481725745,0.376481725745,0.691470175382,0.156299961941,0.256145886137,0.696596794044,0.444607195648
 01/05  24:00:00,2.08345695574,14.1422361719,0.0,14.1004757687,0.0,0.390674606882,0.390674606882,0.390674606882,0.474740745326,0.107310419037,0.173494335907,0.605329652219,0.309137196364
 01/06  01:00:00,1.51954790374,14.8894618137,0.0,14.8549195993,0.0,0.411567397785,0.411567397785,0.411567397785,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165663958954
 01/06  02:00:00,1.27595452471,15.0628846931,0.0,15.0310804125,0.0,0.416442622468,0.416442622468,0.416442622468,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100212446742
 01/06  03:00:00,1.20319151877,15.6376255677,0.0,15.6061900324,0.0,0.432374711835,0.432374711835,0.432374711835,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0823962319994
 01/06  04:00:00,1.19296697306,15.6279272914,0.0,15.5969342504,0.0,0.432129958814,0.432129958814,0.432129958814,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0875280381714
 01/06  05:00:00,1.24228024363,15.6948868899,0.0,15.6650646152,0.0,0.434023376771,0.434023376771,0.434023376771,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.13982538016
 01/06  06:00:00,1.53647947976,15.706373517,0.0,15.6730942552,0.0,0.434243696953,0.434243696953,0.434243696953,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.368724064837
 01/06  07:00:00,2.25847301613,15.423149184,0.0,15.3846982697,0.0,0.426249656697,0.426249656697,0.426249656697,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.795992383965
 01/06  08:00:00,2.81916946426,14.5473382398,0.0,14.5064812625,0.0,0.401921385796,0.401921385796,0.401921385796,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.913641263676
 01/06  09:00:00,2.65868401246,12.8396347563,0.0,12.8050925419,0.0,0.354766675772,0.354766675772,0.354766675772,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.88284270382
 01/06  10:00:00,2.24892943351,11.5830344784,0.0,11.5536362608,0.0,0.320062686755,0.320062686755,0.320062686755,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.788953876693
 01/06  11:00:00,2.09876409777,11.039405275,0.0,11.00931566,0.0,0.304968873968,0.304968873968,0.304968873968,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.677674067172
 01/06  12:00:00,1.97400039642,9.4341597515,0.0,9.40406091781,0.0,0.260490057361,0.260490057361,0.260490057361,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.578301089353
 01/06  13:00:00,1.85729216123,8.64821416957,0.0,8.61862236064,0.0,0.238720736768,0.238720736768,0.238720736768,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.500809772484
